TYPE,YEAR,MONTH,HUNDRED_BLOCK
Theft From Auto Over $5000,2010,1,63XX BOUNDARY RD
Theft From Auto Over $5000,2010,1,19XX E HASTINGS ST
Theft From Auto Over $5000,2010,1,RICHARDS ST / W GEORGIA ST
Theft From Auto Over $5000,2010,1,8XX AVISON WAY
Theft From Auto Over $5000,2010,1,56XX EAST BLVD
Theft From Auto Over $5000,2010,1,7XX W GEORGIA ST
Theft From Auto Over $5000,2010,1,8XX AVISON WAY
Theft From Auto Over $5000,2010,1,39XX INVERNESS ST
Theft From Auto Over $5000,2010,1,38XX W 29TH AVE
Theft From Auto Over $5000,2010,1,17XX BARCLAY ST
Theft From Auto Over $5000,2010,2,9XX BURRARD ST
Theft From Auto Over $5000,2010,2,GRANVILLE ST / ROBSON ST
Theft From Auto Under $5000,2010,1,KINGSWAY AVE / KNIGHT ST
Theft From Auto Under $5000,2010,1,29XX KITCHENER ST
Theft From Auto Under $5000,2010,1,19XX CEDAR CRES
Theft From Auto Under $5000,2010,1,27XX ALBERTA ST
Theft From Auto Under $5000,2010,1,15XX W 32ND AVE
Theft From Auto Under $5000,2010,1,53XX SLOCAN ST
Theft From Auto Under $5000,2010,1,12XX BURNABY ST
Theft From Auto Under $5000,2010,1,19XX W 11TH AVE
Theft From Auto Under $5000,2010,1,4XX W 19TH AVE
Theft From Auto Under $5000,2010,1,50XX ST CATHERINES ST
Theft From Auto Under $5000,2010,1,9XX W 21ST AVE
Theft From Auto Under $5000,2010,1,4XX W 18TH AVE
Commercial BE,2010,1,72XX FRASER ST
Commercial BE,2010,1,57XX FRASER ST
Commercial BE,2010,1,55XX OAK ST
Commercial BE,2010,1,32XX W BROADWAY AVE
Commercial BE,2010,1,55XX WEST BLVD
Commercial BE,2010,3,2XX BURRARD ST
Commercial BE,2010,3,25XX WINDSOR ST
Commercial BE,2010,3,22XX HIGHBURY ST
Commercial BE,2010,3,4XX W PENDER ST
Commercial BE,2010,3,86XX OAK ST
Commercial BE,2010,3,35XX W 41ST AVE
Commercial BE,2010,3,49XX VICTORIA DR
Commercial BE,2010,3,9XX BURRARD ST
Commercial BE,2010,3,9XX SEYMOUR ST
Commercial BE,2010,3,5XX SMITHE ST
Commercial BE,2010,3,21XX W BROADWAY AVE
Commercial BE,2010,3,22XX W 2ND AVE
Mischief Under $5000,2010,2,21XX W 21ST AVE
Mischief Under $5000,2010,2,79XX GRANVILLE ST
Mischief Under $5000,2010,2,1XX PRIOR ST
Mischief Under $5000,2010,2,64XX DUNBAR ST
Mischief Under $5000,2010,2,2XX E HASTINGS ST
Mischief Under $5000,2010,2,32XX VANNESS AVE
Mischief Under $5000,2010,2,9XX ROBSON ST
Mischief Under $5000,2010,2,ALMA ST / W 10TH AVE
